Time,InNum,OutNum,Station
2023-04-16 00:00:00,28,5,B
2023-04-16 00:15:00,133,101,B
2023-04-16 00:30:00,80,53,B
2023-04-16 00:45:00,125,98,B
2023-04-16 01:00:00,118,96,B
2023-04-16 01:15:00,61,48,B
2023-04-16 01:30:00,0,0,B
2023-04-16 01:45:00,15,8,B
2023-04-16 02:00:00,0,0,B
2023-04-16 02:15:00,0,0,B
2023-04-16 02:30:00,0,0,B
2023-04-16 02:45:00,0,0,B
2023-04-16 03:00:00,0,0,B
2023-04-16 03:15:00,0,0,B
2023-04-16 03:30:00,0,0,B
2023-04-16 03:45:00,0,0,B
2023-04-16 04:00:00,0,0,B
2023-04-16 04:15:00,0,0,B
2023-04-16 04:30:00,0,0,B
2023-04-16 04:45:00,45,48,B
2023-04-16 05:00:00,46,41,B
2023-04-16 05:15:00,110,110,B
2023-04-16 05:30:00,128,115,B
2023-04-16 05:45:00,126,90,B
2023-04-16 06:00:00,110,76,B
2023-04-16 06:15:00,133,66,B
2023-04-16 06:30:00,117,58,B
2023-04-16 06:45:00,217,106,B
2023-04-16 07:00:00,269,205,B
2023-04-16 07:15:00,276,185,B
2023-04-16 07:30:00,325,197,B
2023-04-16 07:45:00,340,213,B
2023-04-16 08:00:00,177,24,B
2023-04-16 08:15:00,139,36,B
2023-04-16 08:30:00,95,0,B
2023-04-16 08:45:00,14,0,B
2023-04-16 09:00:00,103,0,B
2023-04-16 09:15:00,119,24,B
2023-04-16 09:30:00,221,96,B
2023-04-16 09:45:00,283,144,B
2023-04-16 10:00:00,366,246,B
2023-04-16 10:15:00,419,360,B
2023-04-16 10:30:00,470,384,B
2023-04-16 10:45:00,458,390,B
2023-04-16 11:00:00,449,367,B
2023-04-16 11:15:00,352,277,B
2023-04-16 11:30:00,376,324,B
2023-04-16 11:45:00,375,322,B
2023-04-16 12:00:00,455,392,B
2023-04-16 12:15:00,402,390,B
2023-04-16 12:30:00,488,427,B
2023-04-16 12:45:00,414,388,B
2023-04-16 13:00:00,377,309,B
2023-04-16 13:15:00,296,279,B
2023-04-16 13:30:00,220,220,B
2023-04-16 13:45:00,274,255,B
2023-04-16 14:00:00,292,300,B
2023-04-16 14:15:00,252,197,B
2023-04-16 14:30:00,278,304,B
2023-04-16 14:45:00,259,250,B
2023-04-16 15:00:00,318,290,B
2023-04-16 15:15:00,262,264,B
2023-04-16 15:30:00,282,246,B
2023-04-16 15:45:00,253,293,B
2023-04-16 16:00:00,286,270,B
2023-04-16 16:15:00,273,296,B
2023-04-16 16:30:00,342,385,B
2023-04-16 16:45:00,331,322,B
2023-04-16 17:00:00,385,440,B
2023-04-16 17:15:00,426,331,B
2023-04-16 17:30:00,347,367,B
2023-04-16 17:45:00,385,389,B
2023-04-16 18:00:00,341,291,B
2023-04-16 18:15:00,348,353,B
2023-04-16 18:30:00,296,279,B
2023-04-16 18:45:00,283,349,B
2023-04-16 19:00:00,298,353,B
2023-04-16 19:15:00,327,397,B
2023-04-16 19:30:00,299,338,B
2023-04-16 19:45:00,268,259,B
2023-04-16 20:00:00,251,344,B
2023-04-16 20:15:00,220,252,B
2023-04-16 20:30:00,171,205,B
2023-04-16 20:45:00,173,285,B
2023-04-16 21:00:00,171,199,B
2023-04-16 21:15:00,234,311,B
2023-04-16 21:30:00,273,371,B
2023-04-16 21:45:00,253,342,B
2023-04-16 22:00:00,229,366,B
2023-04-16 22:15:00,231,296,B
2023-04-16 22:30:00,205,262,B
2023-04-16 22:45:00,103,272,B
2023-04-16 23:00:00,67,163,B
2023-04-16 23:15:00,54,154,B
2023-04-16 23:30:00,35,87,B
2023-04-16 23:45:00,38,63,B
