Time,InNum,OutNum,Station
2023-04-16 00:00:00,0,0,C
2023-04-16 00:15:00,0,0,C
2023-04-16 00:30:00,0,0,C
2023-04-16 00:45:00,0,0,C
2023-04-16 01:00:00,17,23,C
2023-04-16 01:15:00,83,90,C
2023-04-16 01:30:00,70,82,C
2023-04-16 01:45:00,42,51,C
2023-04-16 02:00:00,0,0,C
2023-04-16 02:15:00,0,2,C
2023-04-16 02:30:00,0,0,C
2023-04-16 02:45:00,0,0,C
2023-04-16 03:00:00,0,0,C
2023-04-16 03:15:00,0,0,C
2023-04-16 03:30:00,0,0,C
2023-04-16 03:45:00,0,0,C
2023-04-16 04:00:00,0,0,C
2023-04-16 04:15:00,0,0,C
2023-04-16 04:30:00,0,0,C
2023-04-16 04:45:00,0,0,C
2023-04-16 05:00:00,22,34,C
2023-04-16 05:15:00,79,85,C
2023-04-16 05:30:00,97,106,C
2023-04-16 05:45:00,48,48,C
2023-04-16 06:00:00,120,113,C
2023-04-16 06:15:00,27,20,C
2023-04-16 06:30:00,58,43,C
2023-04-16 06:45:00,0,0,C
2023-04-16 07:00:00,0,0,C
2023-04-16 07:15:00,0,0,C
2023-04-16 07:30:00,0,0,C
2023-04-16 07:45:00,40,0,C
2023-04-16 08:00:00,132,76,C
2023-04-16 08:15:00,194,150,C
2023-04-16 08:30:00,152,234,C
2023-04-16 08:45:00,226,229,C
2023-04-16 09:00:00,197,204,C
2023-04-16 09:15:00,330,361,C
2023-04-16 09:30:00,353,438,C
2023-04-16 09:45:00,371,472,C
2023-04-16 10:00:00,375,378,C
2023-04-16 10:15:00,337,346,C
2023-04-16 10:30:00,242,248,C
2023-04-16 10:45:00,223,228,C
2023-04-16 11:00:00,172,175,C
2023-04-16 11:15:00,183,211,C
2023-04-16 11:30:00,186,217,C
2023-04-16 11:45:00,152,145,C
2023-04-16 12:00:00,158,130,C
2023-04-16 12:15:00,103,78,C
2023-04-16 12:30:00,42,33,C
2023-04-16 12:45:00,30,2,C
2023-04-16 13:00:00,0,0,C
2023-04-16 13:15:00,29,0,C
2023-04-16 13:30:00,12,2,C
2023-04-16 13:45:00,103,81,C
2023-04-16 14:00:00,62,45,C
2023-04-16 14:15:00,122,103,C
2023-04-16 14:30:00,104,103,C
2023-04-16 14:45:00,124,127,C
2023-04-16 15:00:00,133,135,C
2023-04-16 15:15:00,150,136,C
2023-04-16 15:30:00,206,175,C
2023-04-16 15:45:00,227,215,C
2023-04-16 16:00:00,165,157,C
2023-04-16 16:15:00,199,171,C
2023-04-16 16:30:00,147,136,C
2023-04-16 16:45:00,176,147,C
2023-04-16 17:00:00,159,146,C
2023-04-16 17:15:00,223,228,C
2023-04-16 17:30:00,292,268,C
2023-04-16 17:45:00,196,199,C
2023-04-16 18:00:00,195,154,C
2023-04-16 18:15:00,331,231,C
2023-04-16 18:30:00,262,221,C
2023-04-16 18:45:00,261,226,C
2023-04-16 19:00:00,359,328,C
2023-04-16 19:15:00,337,315,C
2023-04-16 19:30:00,335,324,C
2023-04-16 19:45:00,264,280,C
2023-04-16 20:00:00,255,261,C
2023-04-16 20:15:00,273,274,C
2023-04-16 20:30:00,257,222,C
2023-04-16 20:45:00,279,275,C
2023-04-16 21:00:00,265,248,C
2023-04-16 21:15:00,211,186,C
2023-04-16 21:30:00,111,119,C
2023-04-16 21:45:00,130,96,C
2023-04-16 22:00:00,139,166,C
2023-04-16 22:15:00,30,72,C
2023-04-16 22:30:00,103,140,C
2023-04-16 22:45:00,61,119,C
2023-04-16 23:00:00,12,74,C
2023-04-16 23:15:00,36,87,C
2023-04-16 23:30:00,25,65,C
2023-04-16 23:45:00,56,75,C
