Time,InNum,OutNum,Station
2023-04-16 00:00:00,15,4,D
2023-04-16 00:15:00,121,113,D
2023-04-16 00:30:00,66,60,D
2023-04-16 00:45:00,108,104,D
2023-04-16 01:00:00,102,101,D
2023-04-16 01:15:00,43,49,D
2023-04-16 01:30:00,0,0,D
2023-04-16 01:45:00,1,8,D
2023-04-16 02:00:00,0,0,D
2023-04-16 02:15:00,0,0,D
2023-04-16 02:30:00,0,0,D
2023-04-16 02:45:00,0,0,D
2023-04-16 03:00:00,0,0,D
2023-04-16 03:15:00,0,0,D
2023-04-16 03:30:00,0,0,D
2023-04-16 03:45:00,0,0,D
2023-04-16 04:00:00,0,0,D
2023-04-16 04:15:00,0,0,D
2023-04-16 04:30:00,0,0,D
2023-04-16 04:45:00,36,52,D
2023-04-16 05:00:00,35,46,D
2023-04-16 05:15:00,105,115,D
2023-04-16 05:30:00,121,128,D
2023-04-16 05:45:00,101,100,D
2023-04-16 06:00:00,102,85,D
2023-04-16 06:15:00,95,75,D
2023-04-16 06:30:00,92,60,D
2023-04-16 06:45:00,145,108,D
2023-04-16 07:00:00,219,169,D
2023-04-16 07:15:00,205,161,D
2023-04-16 07:30:00,218,159,D
2023-04-16 07:45:00,271,186,D
2023-04-16 08:00:00,97,7,D
2023-04-16 08:15:00,89,0,D
2023-04-16 08:30:00,0,0,D
2023-04-16 08:45:00,0,0,D
2023-04-16 09:00:00,0,0,D
2023-04-16 09:15:00,11,0,D
2023-04-16 09:30:00,112,76,D
2023-04-16 09:45:00,168,114,D
2023-04-16 10:00:00,273,225,D
2023-04-16 10:15:00,324,290,D
2023-04-16 10:30:00,379,329,D
2023-04-16 10:45:00,370,337,D
2023-04-16 11:00:00,340,334,D
2023-04-16 11:15:00,257,226,D
2023-04-16 11:30:00,254,243,D
2023-04-16 11:45:00,272,271,D
2023-04-16 12:00:00,361,348,D
2023-04-16 12:15:00,338,335,D
2023-04-16 12:30:00,411,413,D
2023-04-16 12:45:00,349,348,D
2023-04-16 13:00:00,280,272,D
2023-04-16 13:15:00,216,199,D
2023-04-16 13:30:00,157,133,D
2023-04-16 13:45:00,188,180,D
2023-04-16 14:00:00,235,197,D
2023-04-16 14:15:00,145,140,D
2023-04-16 14:30:00,189,180,D
2023-04-16 14:45:00,186,192,D
2023-04-16 15:00:00,214,219,D
2023-04-16 15:15:00,193,195,D
2023-04-16 15:30:00,195,209,D
2023-04-16 15:45:00,187,194,D
2023-04-16 16:00:00,188,215,D
2023-04-16 16:15:00,183,199,D
2023-04-16 16:30:00,272,260,D
2023-04-16 16:45:00,285,268,D
2023-04-16 17:00:00,339,323,D
2023-04-16 17:15:00,339,326,D
2023-04-16 17:30:00,251,263,D
2023-04-16 17:45:00,290,291,D
2023-04-16 18:00:00,241,271,D
2023-04-16 18:15:00,276,283,D
2023-04-16 18:30:00,248,261,D
2023-04-16 18:45:00,215,253,D
2023-04-16 19:00:00,245,290,D
2023-04-16 19:15:00,269,290,D
2023-04-16 19:30:00,256,281,D
2023-04-16 19:45:00,190,237,D
2023-04-16 20:00:00,213,257,D
2023-04-16 20:15:00,168,209,D
2023-04-16 20:30:00,120,174,D
2023-04-16 20:45:00,125,176,D
2023-04-16 21:00:00,116,177,D
2023-04-16 21:15:00,177,222,D
2023-04-16 21:30:00,220,320,D
2023-04-16 21:45:00,215,287,D
2023-04-16 22:00:00,217,309,D
2023-04-16 22:15:00,206,264,D
2023-04-16 22:30:00,203,281,D
2023-04-16 22:45:00,103,155,D
2023-04-16 23:00:00,64,100,D
2023-04-16 23:15:00,47,73,D
2023-04-16 23:30:00,27,37,D
2023-04-16 23:45:00,31,38,D
