Time,InNum,OutNum,Station
2023-04-16 00:00:00,7,15,E
2023-04-16 00:15:00,112,124,E
2023-04-16 00:30:00,57,72,E
2023-04-16 00:45:00,98,115,E
2023-04-16 01:00:00,91,110,E
2023-04-16 01:15:00,32,57,E
2023-04-16 01:30:00,0,0,E
2023-04-16 01:45:00,0,12,E
2023-04-16 02:00:00,0,0,E
2023-04-16 02:15:00,0,0,E
2023-04-16 02:30:00,0,0,E
2023-04-16 02:45:00,0,0,E
2023-04-16 03:00:00,0,0,E
2023-04-16 03:15:00,0,0,E
2023-04-16 03:30:00,0,0,E
2023-04-16 03:45:00,0,0,E
2023-04-16 04:00:00,0,0,E
2023-04-16 04:15:00,0,0,E
2023-04-16 04:30:00,0,0,E
2023-04-16 04:45:00,22,54,E
2023-04-16 05:00:00,22,47,E
2023-04-16 05:15:00,91,117,E
2023-04-16 05:30:00,107,126,E
2023-04-16 05:45:00,85,99,E
2023-04-16 06:00:00,90,84,E
2023-04-16 06:15:00,86,74,E
2023-04-16 06:30:00,60,65,E
2023-04-16 06:45:00,128,113,E
2023-04-16 07:00:00,200,181,E
2023-04-16 07:15:00,181,159,E
2023-04-16 07:30:00,203,189,E
2023-04-16 07:45:00,247,213,E
2023-04-16 08:00:00,54,36,E
2023-04-16 08:15:00,36,0,E
2023-04-16 08:30:00,0,6,E
2023-04-16 08:45:00,0,0,E
2023-04-16 09:00:00,0,0,E
2023-04-16 09:15:00,0,0,E
2023-04-16 09:30:00,82,72,E
2023-04-16 09:45:00,135,148,E
2023-04-16 10:00:00,245,248,E
2023-04-16 10:15:00,316,314,E
2023-04-16 10:30:00,375,353,E
2023-04-16 10:45:00,357,350,E
2023-04-16 11:00:00,337,338,E
2023-04-16 11:15:00,251,259,E
2023-04-16 11:30:00,248,246,E
2023-04-16 11:45:00,288,273,E
2023-04-16 12:00:00,364,339,E
2023-04-16 12:15:00,325,336,E
2023-04-16 12:30:00,403,404,E
2023-04-16 12:45:00,333,369,E
2023-04-16 13:00:00,280,297,E
2023-04-16 13:15:00,218,217,E
2023-04-16 13:30:00,154,152,E
2023-04-16 13:45:00,180,187,E
2023-04-16 14:00:00,233,248,E
2023-04-16 14:15:00,136,202,E
2023-04-16 14:30:00,168,201,E
2023-04-16 14:45:00,169,238,E
2023-04-16 15:00:00,193,237,E
2023-04-16 15:15:00,207,236,E
2023-04-16 15:30:00,209,230,E
2023-04-16 15:45:00,179,194,E
2023-04-16 16:00:00,186,211,E
2023-04-16 16:15:00,236,213,E
2023-04-16 16:30:00,304,271,E
2023-04-16 16:45:00,273,251,E
2023-04-16 17:00:00,353,320,E
2023-04-16 17:15:00,341,325,E
2023-04-16 17:30:00,257,249,E
2023-04-16 17:45:00,286,272,E
2023-04-16 18:00:00,285,228,E
2023-04-16 18:15:00,285,280,E
2023-04-16 18:30:00,254,255,E
2023-04-16 18:45:00,229,235,E
2023-04-16 19:00:00,257,272,E
2023-04-16 19:15:00,260,265,E
2023-04-16 19:30:00,237,294,E
2023-04-16 19:45:00,180,199,E
2023-04-16 20:00:00,197,222,E
2023-04-16 20:15:00,156,174,E
2023-04-16 20:30:00,111,151,E
2023-04-16 20:45:00,130,139,E
2023-04-16 21:00:00,127,153,E
2023-04-16 21:15:00,196,214,E
2023-04-16 21:30:00,235,269,E
2023-04-16 21:45:00,203,263,E
2023-04-16 22:00:00,199,234,E
2023-04-16 22:15:00,209,269,E
2023-04-16 22:30:00,204,249,E
2023-04-16 22:45:00,102,150,E
2023-04-16 23:00:00,55,103,E
2023-04-16 23:15:00,32,61,E
2023-04-16 23:30:00,9,38,E
2023-04-16 23:45:00,17,39,E
