Time,InNum,OutNum,Station
2023-04-16 00:00:00,0,23,F
2023-04-16 00:15:00,102,131,F
2023-04-16 00:30:00,47,78,F
2023-04-16 00:45:00,90,123,F
2023-04-16 01:00:00,81,119,F
2023-04-16 01:15:00,26,62,F
2023-04-16 01:30:00,0,0,F
2023-04-16 01:45:00,0,19,F
2023-04-16 02:00:00,0,0,F
2023-04-16 02:15:00,0,0,F
2023-04-16 02:30:00,0,0,F
2023-04-16 02:45:00,0,0,F
2023-04-16 03:00:00,0,0,F
2023-04-16 03:15:00,0,0,F
2023-04-16 03:30:00,0,0,F
2023-04-16 03:45:00,0,0,F
2023-04-16 04:00:00,0,0,F
2023-04-16 04:15:00,0,0,F
2023-04-16 04:30:00,0,0,F
2023-04-16 04:45:00,19,60,F
2023-04-16 05:00:00,18,55,F
2023-04-16 05:15:00,87,124,F
2023-04-16 05:30:00,106,137,F
2023-04-16 05:45:00,82,109,F
2023-04-16 06:00:00,80,97,F
2023-04-16 06:15:00,66,85,F
2023-04-16 06:30:00,49,83,F
2023-04-16 06:45:00,94,136,F
2023-04-16 07:00:00,168,202,F
2023-04-16 07:15:00,151,220,F
2023-04-16 07:30:00,159,223,F
2023-04-16 07:45:00,165,301,F
2023-04-16 08:00:00,0,73,F
2023-04-16 08:15:00,0,94,F
2023-04-16 08:30:00,0,56,F
2023-04-16 08:45:00,0,48,F
2023-04-16 09:00:00,0,36,F
2023-04-16 09:15:00,0,65,F
2023-04-16 09:30:00,56,185,F
2023-04-16 09:45:00,143,209,F
2023-04-16 10:00:00,288,268,F
2023-04-16 10:15:00,328,334,F
2023-04-16 10:30:00,373,364,F
2023-04-16 10:45:00,338,380,F
2023-04-16 11:00:00,324,333,F
2023-04-16 11:15:00,234,252,F
2023-04-16 11:30:00,238,245,F
2023-04-16 11:45:00,253,273,F
2023-04-16 12:00:00,322,338,F
2023-04-16 12:15:00,307,320,F
2023-04-16 12:30:00,374,416,F
2023-04-16 12:45:00,306,339,F
2023-04-16 13:00:00,250,282,F
2023-04-16 13:15:00,171,214,F
2023-04-16 13:30:00,94,151,F
2023-04-16 13:45:00,132,196,F
2023-04-16 14:00:00,192,232,F
2023-04-16 14:15:00,132,157,F
2023-04-16 14:30:00,144,191,F
2023-04-16 14:45:00,164,192,F
2023-04-16 15:00:00,182,221,F
2023-04-16 15:15:00,165,192,F
2023-04-16 15:30:00,175,180,F
2023-04-16 15:45:00,144,173,F
2023-04-16 16:00:00,178,188,F
2023-04-16 16:15:00,167,198,F
2023-04-16 16:30:00,246,263,F
2023-04-16 16:45:00,244,264,F
2023-04-16 17:00:00,312,311,F
2023-04-16 17:15:00,331,295,F
2023-04-16 17:30:00,280,237,F
2023-04-16 17:45:00,330,257,F
2023-04-16 18:00:00,355,229,F
2023-04-16 18:15:00,377,248,F
2023-04-16 18:30:00,340,218,F
2023-04-16 18:45:00,337,202,F
2023-04-16 19:00:00,342,234,F
2023-04-16 19:15:00,370,246,F
2023-04-16 19:30:00,306,241,F
2023-04-16 19:45:00,206,188,F
2023-04-16 20:00:00,217,206,F
2023-04-16 20:15:00,187,161,F
2023-04-16 20:30:00,119,123,F
2023-04-16 20:45:00,112,130,F
2023-04-16 21:00:00,138,132,F
2023-04-16 21:15:00,170,179,F
2023-04-16 21:30:00,228,249,F
2023-04-16 21:45:00,213,224,F
2023-04-16 22:00:00,212,224,F
2023-04-16 22:15:00,210,219,F
2023-04-16 22:30:00,205,218,F
2023-04-16 22:45:00,103,137,F
2023-04-16 23:00:00,52,100,F
2023-04-16 23:15:00,27,75,F
2023-04-16 23:30:00,4,57,F
2023-04-16 23:45:00,9,56,F
