Time,InNum,OutNum,Station
2023-04-16 00:00:00,0,8,G
2023-04-16 00:15:00,86,117,G
2023-04-16 00:30:00,34,69,G
2023-04-16 00:45:00,77,115,G
2023-04-16 01:00:00,66,112,G
2023-04-16 01:15:00,14,60,G
2023-04-16 01:30:00,0,0,G
2023-04-16 01:45:00,0,14,G
2023-04-16 02:00:00,0,0,G
2023-04-16 02:15:00,0,0,G
2023-04-16 02:30:00,0,0,G
2023-04-16 02:45:00,0,0,G
2023-04-16 03:00:00,0,0,G
2023-04-16 03:15:00,0,0,G
2023-04-16 03:30:00,0,0,G
2023-04-16 03:45:00,0,0,G
2023-04-16 04:00:00,0,0,G
2023-04-16 04:15:00,0,0,G
2023-04-16 04:30:00,0,0,G
2023-04-16 04:45:00,0,58,G
2023-04-16 05:00:00,0,47,G
2023-04-16 05:15:00,60,114,G
2023-04-16 05:30:00,74,121,G
2023-04-16 05:45:00,55,91,G
2023-04-16 06:00:00,53,79,G
2023-04-16 06:15:00,43,70,G
2023-04-16 06:30:00,34,66,G
2023-04-16 06:45:00,77,117,G
2023-04-16 07:00:00,150,174,G
2023-04-16 07:15:00,134,183,G
2023-04-16 07:30:00,136,214,G
2023-04-16 07:45:00,159,237,G
2023-04-16 08:00:00,0,159,G
2023-04-16 08:15:00,0,151,G
2023-04-16 08:30:00,0,135,G
2023-04-16 08:45:00,0,149,G
2023-04-16 09:00:00,0,102,G
2023-04-16 09:15:00,0,119,G
2023-04-16 09:30:00,63,181,G
2023-04-16 09:45:00,110,330,G
2023-04-16 10:00:00,224,360,G
2023-04-16 10:15:00,286,363,G
2023-04-16 10:30:00,329,417,G
2023-04-16 10:45:00,334,405,G
2023-04-16 11:00:00,299,446,G
2023-04-16 11:15:00,222,332,G
2023-04-16 11:30:00,238,320,G
2023-04-16 11:45:00,253,374,G
2023-04-16 12:00:00,328,399,G
2023-04-16 12:15:00,329,428,G
2023-04-16 12:30:00,397,465,G
2023-04-16 12:45:00,324,389,G
2023-04-16 13:00:00,287,359,G
2023-04-16 13:15:00,212,253,G
2023-04-16 13:30:00,131,230,G
2023-04-16 13:45:00,184,233,G
2023-04-16 14:00:00,213,317,G
2023-04-16 14:15:00,160,247,G
2023-04-16 14:30:00,182,265,G
2023-04-16 14:45:00,201,270,G
2023-04-16 15:00:00,228,299,G
2023-04-16 15:15:00,210,320,G
2023-04-16 15:30:00,229,286,G
2023-04-16 15:45:00,213,264,G
2023-04-16 16:00:00,246,270,G
2023-04-16 16:15:00,238,242,G
2023-04-16 16:30:00,318,349,G
2023-04-16 16:45:00,298,313,G
2023-04-16 17:00:00,391,366,G
2023-04-16 17:15:00,389,403,G
2023-04-16 17:30:00,289,312,G
2023-04-16 17:45:00,363,320,G
2023-04-16 18:00:00,334,319,G
2023-04-16 18:15:00,392,404,G
2023-04-16 18:30:00,329,358,G
2023-04-16 18:45:00,293,301,G
2023-04-16 19:00:00,307,297,G
2023-04-16 19:15:00,316,311,G
2023-04-16 19:30:00,299,327,G
2023-04-16 19:45:00,256,217,G
2023-04-16 20:00:00,280,222,G
2023-04-16 20:15:00,263,198,G
2023-04-16 20:30:00,206,140,G
2023-04-16 20:45:00,208,151,G
2023-04-16 21:00:00,200,149,G
2023-04-16 21:15:00,302,198,G
2023-04-16 21:30:00,331,262,G
2023-04-16 21:45:00,317,246,G
2023-04-16 22:00:00,309,241,G
2023-04-16 22:15:00,311,220,G
2023-04-16 22:30:00,263,235,G
2023-04-16 22:45:00,162,143,G
2023-04-16 23:00:00,79,97,G
2023-04-16 23:15:00,15,56,G
2023-04-16 23:30:00,0,43,G
2023-04-16 23:45:00,0,43,G
