Time,InNum,OutNum,Station
2023-04-16 00:00:00,0,0,A
2023-04-16 00:15:00,0,0,A
2023-04-16 00:30:00,0,0,A
2023-04-16 00:45:00,0,0,A
2023-04-16 01:00:00,14,23,A
2023-04-16 01:15:00,84,91,A
2023-04-16 01:30:00,73,81,A
2023-04-16 01:45:00,41,47,A
2023-04-16 02:00:00,0,0,A
2023-04-16 02:15:00,0,0,A
2023-04-16 02:30:00,0,0,A
2023-04-16 02:45:00,0,0,A
2023-04-16 03:00:00,0,0,A
2023-04-16 03:15:00,0,0,A
2023-04-16 03:30:00,0,0,A
2023-04-16 03:45:00,0,0,A
2023-04-16 04:00:00,0,0,A
2023-04-16 04:15:00,0,0,A
2023-04-16 04:30:00,0,0,A
2023-04-16 04:45:00,0,0,A
2023-04-16 05:00:00,19,24,A
2023-04-16 05:15:00,75,78,A
2023-04-16 05:30:00,96,100,A
2023-04-16 05:45:00,59,43,A
2023-04-16 06:00:00,124,107,A
2023-04-16 06:15:00,40,17,A
2023-04-16 06:30:00,57,34,A
2023-04-16 06:45:00,0,0,A
2023-04-16 07:00:00,0,0,A
2023-04-16 07:15:00,0,0,A
2023-04-16 07:30:00,0,0,A
2023-04-16 07:45:00,0,0,A
2023-04-16 08:00:00,65,16,A
2023-04-16 08:15:00,110,68,A
2023-04-16 08:30:00,128,89,A
2023-04-16 08:45:00,185,149,A
2023-04-16 09:00:00,177,139,A
2023-04-16 09:15:00,331,279,A
2023-04-16 09:30:00,344,334,A
2023-04-16 09:45:00,394,361,A
2023-04-16 10:00:00,364,364,A
2023-04-16 10:15:00,363,319,A
2023-04-16 10:30:00,249,233,A
2023-04-16 10:45:00,206,236,A
2023-04-16 11:00:00,152,154,A
2023-04-16 11:15:00,169,184,A
2023-04-16 11:30:00,178,180,A
2023-04-16 11:45:00,123,134,A
2023-04-16 12:00:00,109,116,A
2023-04-16 12:15:00,78,62,A
2023-04-16 12:30:00,14,9,A
2023-04-16 12:45:00,0,0,A
2023-04-16 13:00:00,0,0,A
2023-04-16 13:15:00,0,0,A
2023-04-16 13:30:00,0,0,A
2023-04-16 13:45:00,79,68,A
2023-04-16 14:00:00,27,16,A
2023-04-16 14:15:00,73,70,A
2023-04-16 14:30:00,82,68,A
2023-04-16 14:45:00,85,75,A
2023-04-16 15:00:00,94,106,A
2023-04-16 15:15:00,137,109,A
2023-04-16 15:30:00,161,193,A
2023-04-16 15:45:00,195,203,A
2023-04-16 16:00:00,122,130,A
2023-04-16 16:15:00,149,179,A
2023-04-16 16:30:00,109,101,A
2023-04-16 16:45:00,154,150,A
2023-04-16 17:00:00,123,136,A
2023-04-16 17:15:00,171,179,A
2023-04-16 17:30:00,200,208,A
2023-04-16 17:45:00,195,148,A
2023-04-16 18:00:00,117,129,A
2023-04-16 18:15:00,163,161,A
2023-04-16 18:30:00,128,152,A
2023-04-16 18:45:00,135,159,A
2023-04-16 19:00:00,224,245,A
2023-04-16 19:15:00,263,289,A
2023-04-16 19:30:00,256,285,A
2023-04-16 19:45:00,227,225,A
2023-04-16 20:00:00,192,230,A
2023-04-16 20:15:00,236,270,A
2023-04-16 20:30:00,192,251,A
2023-04-16 20:45:00,212,248,A
2023-04-16 21:00:00,191,236,A
2023-04-16 21:15:00,145,179,A
2023-04-16 21:30:00,33,78,A
2023-04-16 21:45:00,43,72,A
2023-04-16 22:00:00,87,150,A
2023-04-16 22:15:00,0,6,A
2023-04-16 22:30:00,54,103,A
