Time,InNum,OutNum,Station
2023/4/16 0:00,0,0,A
2023/4/16 0:15,0,0,A
2023/4/16 0:30,0,0,A
2023/4/16 0:45,0,0,A
2023/4/16 1:00,14,23,A
2023/4/16 1:15,84,91,A
2023/4/16 1:30,73,81,A
2023/4/16 1:45,41,47,A
2023/4/16 2:00,0,0,A
2023/4/16 2:15,0,0,A
2023/4/16 2:30,0,0,A
2023/4/16 2:45,0,0,A
2023/4/16 3:00,0,0,A
2023/4/16 3:15,0,0,A
2023/4/16 3:30,0,0,A
2023/4/16 3:45,0,0,A
2023/4/16 4:00,0,0,A
2023/4/16 4:15,0,0,A
2023/4/16 4:30,0,0,A
2023/4/16 4:45,0,0,A
2023/4/16 5:00,19,24,A
2023/4/16 5:15,75,78,A
2023/4/16 5:30,96,100,A
2023/4/16 5:45,59,43,A
2023/4/16 6:00,124,107,A
2023/4/16 6:15,40,17,A
2023/4/16 6:30,57,34,A
2023/4/16 6:45,0,0,A
2023/4/16 7:00,0,0,A
2023/4/16 7:15,0,0,A
2023/4/16 7:30,0,0,A
2023/4/16 7:45,0,0,A
2023/4/16 8:00,65,16,A
2023/4/16 8:15,110,68,A
2023/4/16 8:30,128,89,A
2023/4/16 8:45,185,149,A
2023/4/16 9:00,177,139,A
2023/4/16 9:15,331,279,A
2023/4/16 9:30,344,334,A
2023/4/16 9:45,394,361,A
2023/4/16 10:00,364,364,A
2023/4/16 10:15,363,319,A
2023/4/16 10:30,249,233,A
2023/4/16 10:45,206,236,A
2023/4/16 11:00,152,154,A
2023/4/16 11:15,169,184,A
2023/4/16 11:30,178,180,A
2023/4/16 11:45,123,134,A
2023/4/16 12:00,109,116,A
2023/4/16 12:15,78,62,A
2023/4/16 12:30,14,9,A
2023/4/16 12:45,0,0,A
2023/4/16 13:00,0,0,A
2023/4/16 13:15,0,0,A
2023/4/16 13:30,0,0,A
2023/4/16 13:45,79,68,A
2023/4/16 14:00,27,16,A
2023/4/16 14:15,73,70,A
2023/4/16 14:30,82,68,A
2023/4/16 14:45,85,75,A
2023/4/16 15:00,94,106,A
2023/4/16 15:15,137,109,A
2023/4/16 15:30,161,193,A
2023/4/16 15:45,195,203,A
2023/4/16 16:00,122,130,A
2023/4/16 16:15,149,179,A
2023/4/16 16:30,109,101,A
2023/4/16 16:45,154,150,A
2023/4/16 17:00,123,136,A
2023/4/16 17:15,171,179,A
2023/4/16 17:30,200,208,A
2023/4/16 17:45,195,148,A
2023/4/16 18:00,117,129,A
2023/4/16 18:15,163,161,A
2023/4/16 18:30,128,152,A
2023/4/16 18:45,135,159,A
2023/4/16 19:00,224,245,A
2023/4/16 19:15,263,289,A
2023/4/16 19:30,256,285,A
2023/4/16 19:45,227,225,A
2023/4/16 20:00,192,230,A
2023/4/16 20:15,236,270,A
2023/4/16 20:30,192,251,A
2023/4/16 20:45,212,248,A
2023/4/16 21:00,191,236,A
2023/4/16 21:15,145,179,A
2023/4/16 21:30,33,78,A
2023/4/16 21:45,43,72,A
2023/4/16 22:00,87,150,A
2023/4/16 22:15,0,6,A
2023/4/16 22:30,54,103,A
2023/4/16 22:45,34,86,A
2023/4/16 23:00,5,43,A
2023/4/16 23:15,29,56,A
2023/4/16 23:30,22,44,A
2023/4/16 23:45,57,78,A
