Time,InNum,OutNum,Station
2023-04-16 00:00:00,0,0,B
2023-04-16 00:15:00,0,0,B
2023-04-16 00:30:00,0,0,B
2023-04-16 00:45:00,0,0,B
2023-04-16 01:00:00,0,23,B
2023-04-16 01:15:00,0,0,B
2023-04-16 01:30:00,0,41,B
2023-04-16 01:45:00,0,0,B
2023-04-16 02:00:00,0,0,B
2023-04-16 02:15:00,0,24,B
2023-04-16 02:30:00,0,0,B
2023-04-16 02:45:00,0,0,B
2023-04-16 03:00:00,0,42,B
2023-04-16 03:15:00,0,36,B
2023-04-16 03:30:00,0,35,B
2023-04-16 03:45:00,0,96,B
2023-04-16 04:00:00,2,122,B
2023-04-16 04:15:00,0,111,B
2023-04-16 04:30:00,65,180,B
2023-04-16 04:45:00,75,184,B
2023-04-16 05:00:00,125,235,B
2023-04-16 05:15:00,262,373,B
2023-04-16 05:30:00,257,365,B
2023-04-16 05:45:00,341,430,B
2023-04-16 06:00:00,297,395,B
2023-04-16 06:15:00,375,445,B
2023-04-16 06:30:00,325,401,B
2023-04-16 06:45:00,309,338,B
2023-04-16 07:00:00,295,370,B
2023-04-16 07:15:00,258,313,B
2023-04-16 07:30:00,305,324,B
2023-04-16 07:45:00,202,235,B
2023-04-16 08:00:00,240,239,B
2023-04-16 08:15:00,324,363,B
2023-04-16 08:30:00,333,370,B
2023-04-16 08:45:00,255,268,B
2023-04-16 09:00:00,366,381,B
2023-04-16 09:15:00,374,406,B
2023-04-16 09:30:00,367,375,B
2023-04-16 09:45:00,327,319,B
2023-04-16 10:00:00,243,252,B
2023-04-16 10:15:00,252,319,B
2023-04-16 10:30:00,229,278,B
2023-04-16 10:45:00,172,237,B
2023-04-16 11:00:00,175,232,B
2023-04-16 11:15:00,196,248,B
2023-04-16 11:30:00,308,381,B
2023-04-16 11:45:00,241,319,B
2023-04-16 12:00:00,173,235,B
2023-04-16 12:15:00,153,265,B
2023-04-16 12:30:00,144,206,B
2023-04-16 12:45:00,205,298,B
2023-04-16 13:00:00,263,311,B
2023-04-16 13:15:00,237,333,B
2023-04-16 13:30:00,177,296,B
2023-04-16 13:45:00,224,318,B
2023-04-16 14:00:00,224,345,B
2023-04-16 14:15:00,268,324,B
2023-04-16 14:30:00,281,423,B
2023-04-16 14:45:00,276,377,B
2023-04-16 15:00:00,351,433,B
2023-04-16 15:15:00,314,427,B
2023-04-16 15:30:00,344,426,B
2023-04-16 15:45:00,332,492,B
2023-04-16 16:00:00,314,419,B
2023-04-16 16:15:00,286,426,B
2023-04-16 16:30:00,222,402,B
2023-04-16 16:45:00,260,380,B
2023-04-16 17:00:00,214,404,B
2023-04-16 17:15:00,260,301,B
2023-04-16 17:30:00,246,408,B
2023-04-16 17:45:00,234,378,B
2023-04-16 18:00:00,222,315,B
2023-04-16 18:15:00,195,336,B
2023-04-16 18:30:00,198,323,B
2023-04-16 18:45:00,162,370,B
2023-04-16 19:00:00,168,358,B
2023-04-16 19:15:00,101,305,B
2023-04-16 19:30:00,141,323,B
2023-04-16 19:45:00,96,232,B
2023-04-16 20:00:00,80,312,B
2023-04-16 20:15:00,166,336,B
2023-04-16 20:30:00,197,364,B
2023-04-16 20:45:00,218,462,B
2023-04-16 21:00:00,160,326,B
2023-04-16 21:15:00,201,409,B
2023-04-16 21:30:00,268,497,B
2023-04-16 21:45:00,202,425,B
2023-04-16 22:00:00,131,416,B
2023-04-16 22:15:00,108,325,B
2023-04-16 22:30:00,120,317,B
2023-04-16 22:45:00,27,327,B
2023-04-16 23:00:00,49,263,B
2023-04-16 23:15:00,0,210,B
2023-04-16 23:30:00,0,159,B
2023-04-16 23:45:00,13,147,B
