Time,InNum,OutNum,Station
2023-04-16 00:00:00,0,0,C
2023-04-16 00:15:00,0,0,C
2023-04-16 00:30:00,0,0,C
2023-04-16 00:45:00,0,5,C
2023-04-16 01:00:00,0,31,C
2023-04-16 01:15:00,0,0,C
2023-04-16 01:30:00,0,46,C
2023-04-16 01:45:00,0,0,C
2023-04-16 02:00:00,0,0,C
2023-04-16 02:15:00,0,24,C
2023-04-16 02:30:00,0,0,C
2023-04-16 02:45:00,0,0,C
2023-04-16 03:00:00,0,40,C
2023-04-16 03:15:00,0,34,C
2023-04-16 03:30:00,0,37,C
2023-04-16 03:45:00,0,104,C
2023-04-16 04:00:00,0,126,C
2023-04-16 04:15:00,0,118,C
2023-04-16 04:30:00,57,188,C
2023-04-16 04:45:00,64,192,C
2023-04-16 05:00:00,112,241,C
2023-04-16 05:15:00,255,383,C
2023-04-16 05:30:00,245,374,C
2023-04-16 05:45:00,320,442,C
2023-04-16 06:00:00,286,401,C
2023-04-16 06:15:00,330,449,C
2023-04-16 06:30:00,293,410,C
2023-04-16 06:45:00,219,336,C
2023-04-16 07:00:00,234,337,C
2023-04-16 07:15:00,178,298,C
2023-04-16 07:30:00,199,290,C
2023-04-16 07:45:00,129,220,C
2023-04-16 08:00:00,174,254,C
2023-04-16 08:15:00,301,388,C
2023-04-16 08:30:00,226,434,C
2023-04-16 08:45:00,199,325,C
2023-04-16 09:00:00,255,382,C
2023-04-16 09:15:00,271,423,C
2023-04-16 09:30:00,258,465,C
2023-04-16 09:45:00,191,422,C
2023-04-16 10:00:00,148,278,C
2023-04-16 10:15:00,150,286,C
2023-04-16 10:30:00,120,245,C
2023-04-16 10:45:00,87,216,C
2023-04-16 11:00:00,77,205,C
2023-04-16 11:15:00,95,252,C
2023-04-16 11:30:00,186,343,C
2023-04-16 11:45:00,164,283,C
2023-04-16 12:00:00,105,204,C
2023-04-16 12:15:00,95,196,C
2023-04-16 12:30:00,84,203,C
2023-04-16 12:45:00,161,259,C
2023-04-16 13:00:00,179,314,C
2023-04-16 13:15:00,190,273,C
2023-04-16 13:30:00,136,251,C
2023-04-16 13:45:00,166,269,C
2023-04-16 14:00:00,185,291,C
2023-04-16 14:15:00,222,317,C
2023-04-16 14:30:00,228,340,C
2023-04-16 14:45:00,263,373,C
2023-04-16 15:00:00,290,405,C
2023-04-16 15:15:00,302,402,C
2023-04-16 15:30:00,307,393,C
2023-04-16 15:45:00,313,415,C
2023-04-16 16:00:00,263,371,C
2023-04-16 16:15:00,245,337,C
2023-04-16 16:30:00,183,292,C
2023-04-16 16:45:00,228,319,C
2023-04-16 17:00:00,180,289,C
2023-04-16 17:15:00,174,304,C
2023-04-16 17:30:00,224,324,C
2023-04-16 17:45:00,169,298,C
2023-04-16 18:00:00,210,292,C
2023-04-16 18:15:00,260,287,C
2023-04-16 18:30:00,263,346,C
2023-04-16 18:45:00,209,299,C
2023-04-16 19:00:00,216,311,C
2023-04-16 19:15:00,101,204,C
2023-04-16 19:30:00,147,273,C
2023-04-16 19:45:00,59,209,C
2023-04-16 20:00:00,90,228,C
2023-04-16 20:15:00,144,283,C
2023-04-16 20:30:00,200,297,C
2023-04-16 20:45:00,229,359,C
2023-04-16 21:00:00,189,304,C
2023-04-16 21:15:00,210,318,C
2023-04-16 21:30:00,287,428,C
2023-04-16 21:45:00,239,333,C
2023-04-16 22:00:00,150,315,C
2023-04-16 22:15:00,117,298,C
2023-04-16 22:30:00,150,319,C
2023-04-16 22:45:00,41,221,C
2023-04-16 23:00:00,49,229,C
2023-04-16 23:15:00,0,158,C
2023-04-16 23:30:00,0,148,C
2023-04-16 23:45:00,4,139,C
