Time,InNum,OutNum,Station
2023-04-16 00:00:00,0,0,D
2023-04-16 00:15:00,0,0,D
2023-04-16 00:30:00,0,0,D
2023-04-16 00:45:00,0,0,D
2023-04-16 01:00:00,0,24,D
2023-04-16 01:15:00,0,0,D
2023-04-16 01:30:00,0,43,D
2023-04-16 01:45:00,0,0,D
2023-04-16 02:00:00,0,0,D
2023-04-16 02:15:00,0,20,D
2023-04-16 02:30:00,0,0,D
2023-04-16 02:45:00,0,0,D
2023-04-16 03:00:00,0,34,D
2023-04-16 03:15:00,0,27,D
2023-04-16 03:30:00,0,30,D
2023-04-16 03:45:00,0,97,D
2023-04-16 04:00:00,0,118,D
2023-04-16 04:15:00,0,110,D
2023-04-16 04:30:00,51,180,D
2023-04-16 04:45:00,60,183,D
2023-04-16 05:00:00,108,234,D
2023-04-16 05:15:00,255,377,D
2023-04-16 05:30:00,243,369,D
2023-04-16 05:45:00,319,437,D
2023-04-16 06:00:00,287,398,D
2023-04-16 06:15:00,339,450,D
2023-04-16 06:30:00,300,399,D
2023-04-16 06:45:00,230,327,D
2023-04-16 07:00:00,234,318,D
2023-04-16 07:15:00,181,276,D
2023-04-16 07:30:00,184,266,D
2023-04-16 07:45:00,118,184,D
2023-04-16 08:00:00,152,206,D
2023-04-16 08:15:00,276,320,D
2023-04-16 08:30:00,234,326,D
2023-04-16 08:45:00,198,266,D
2023-04-16 09:00:00,252,327,D
2023-04-16 09:15:00,273,363,D
2023-04-16 09:30:00,260,354,D
2023-04-16 09:45:00,208,285,D
2023-04-16 10:00:00,134,217,D
2023-04-16 10:15:00,146,240,D
2023-04-16 10:30:00,120,203,D
2023-04-16 10:45:00,62,164,D
2023-04-16 11:00:00,46,180,D
2023-04-16 11:15:00,79,182,D
2023-04-16 11:30:00,168,291,D
2023-04-16 11:45:00,120,255,D
2023-04-16 12:00:00,53,172,D
2023-04-16 12:15:00,62,188,D
2023-04-16 12:30:00,38,169,D
2023-04-16 12:45:00,120,244,D
2023-04-16 13:00:00,155,267,D
2023-04-16 13:15:00,147,249,D
2023-04-16 13:30:00,107,208,D
2023-04-16 13:45:00,128,239,D
2023-04-16 14:00:00,157,242,D
2023-04-16 14:15:00,157,268,D
2023-04-16 14:30:00,194,302,D
2023-04-16 14:45:00,199,320,D
2023-04-16 15:00:00,251,370,D
2023-04-16 15:15:00,253,368,D
2023-04-16 15:30:00,262,395,D
2023-04-16 15:45:00,271,398,D
2023-04-16 16:00:00,218,366,D
2023-04-16 16:15:00,193,327,D
2023-04-16 16:30:00,135,254,D
2023-04-16 16:45:00,198,305,D
2023-04-16 17:00:00,144,260,D
2023-04-16 17:15:00,152,273,D
2023-04-16 17:30:00,143,291,D
2023-04-16 17:45:00,132,265,D
2023-04-16 18:00:00,116,284,D
2023-04-16 18:15:00,115,255,D
2023-04-16 18:30:00,148,297,D
2023-04-16 18:45:00,85,264,D
2023-04-16 19:00:00,105,286,D
2023-04-16 19:15:00,29,186,D
2023-04-16 19:30:00,84,252,D
2023-04-16 19:45:00,4,194,D
2023-04-16 20:00:00,30,214,D
2023-04-16 20:15:00,107,287,D
2023-04-16 20:30:00,140,326,D
2023-04-16 20:45:00,167,351,D
2023-04-16 21:00:00,99,298,D
2023-04-16 21:15:00,137,317,D
2023-04-16 21:30:00,211,440,D
2023-04-16 21:45:00,160,363,D
2023-04-16 22:00:00,116,347,D
2023-04-16 22:15:00,77,277,D
2023-04-16 22:30:00,112,328,D
2023-04-16 22:45:00,17,203,D
2023-04-16 23:00:00,38,207,D
2023-04-16 23:15:00,0,132,D
2023-04-16 23:30:00,0,113,D
2023-04-16 23:45:00,0,126,D
