Time,InNum,OutNum,Station
2023-04-16 00:00:00,0,0,E
2023-04-16 00:15:00,0,0,E
2023-04-16 00:30:00,0,4,E
2023-04-16 00:45:00,0,10,E
2023-04-16 01:00:00,0,31,E
2023-04-16 01:15:00,0,0,E
2023-04-16 01:30:00,0,45,E
2023-04-16 01:45:00,0,0,E
2023-04-16 02:00:00,0,0,E
2023-04-16 02:15:00,0,19,E
2023-04-16 02:30:00,0,0,E
2023-04-16 02:45:00,0,0,E
2023-04-16 03:00:00,0,33,E
2023-04-16 03:15:00,0,27,E
2023-04-16 03:30:00,0,30,E
2023-04-16 03:45:00,0,98,E
2023-04-16 04:00:00,0,118,E
2023-04-16 04:15:00,0,111,E
2023-04-16 04:30:00,51,180,E
2023-04-16 04:45:00,58,185,E
2023-04-16 05:00:00,108,234,E
2023-04-16 05:15:00,252,377,E
2023-04-16 05:30:00,241,368,E
2023-04-16 05:45:00,313,436,E
2023-04-16 06:00:00,286,396,E
2023-04-16 06:15:00,344,448,E
2023-04-16 06:30:00,281,405,E
2023-04-16 06:45:00,227,335,E
2023-04-16 07:00:00,229,332,E
2023-04-16 07:15:00,171,274,E
2023-04-16 07:30:00,188,293,E
2023-04-16 07:45:00,114,208,E
2023-04-16 08:00:00,129,230,E
2023-04-16 08:15:00,242,319,E
2023-04-16 08:30:00,234,377,E
2023-04-16 08:45:00,153,365,E
2023-04-16 09:00:00,250,389,E
2023-04-16 09:15:00,259,381,E
2023-04-16 09:30:00,244,348,E
2023-04-16 09:45:00,190,320,E
2023-04-16 10:00:00,122,243,E
2023-04-16 10:15:00,151,267,E
2023-04-16 10:30:00,132,230,E
2023-04-16 10:45:00,65,177,E
2023-04-16 11:00:00,58,179,E
2023-04-16 11:15:00,88,214,E
2023-04-16 11:30:00,177,291,E
2023-04-16 11:45:00,153,256,E
2023-04-16 12:00:00,74,164,E
2023-04-16 12:15:00,69,190,E
2023-04-16 12:30:00,51,158,E
2023-04-16 12:45:00,123,267,E
2023-04-16 13:00:00,173,292,E
2023-04-16 13:15:00,166,269,E
2023-04-16 13:30:00,122,228,E
2023-04-16 13:45:00,135,251,E
2023-04-16 14:00:00,171,293,E
2023-04-16 14:15:00,164,330,E
2023-04-16 14:30:00,188,320,E
2023-04-16 14:45:00,198,364,E
2023-04-16 15:00:00,244,383,E
2023-04-16 15:15:00,280,405,E
2023-04-16 15:30:00,289,415,E
2023-04-16 15:45:00,277,397,E
2023-04-16 16:00:00,229,363,E
2023-04-16 16:15:00,263,343,E
2023-04-16 16:30:00,187,266,E
2023-04-16 16:45:00,205,288,E
2023-04-16 17:00:00,176,258,E
2023-04-16 17:15:00,173,275,E
2023-04-16 17:30:00,164,278,E
2023-04-16 17:45:00,144,247,E
2023-04-16 18:00:00,179,241,E
2023-04-16 18:15:00,143,256,E
2023-04-16 18:30:00,173,295,E
2023-04-16 18:45:00,118,251,E
2023-04-16 19:00:00,135,273,E
2023-04-16 19:15:00,37,168,E
2023-04-16 19:30:00,80,271,E
2023-04-16 19:45:00,10,163,E
2023-04-16 20:00:00,28,185,E
2023-04-16 20:15:00,107,259,E
2023-04-16 20:30:00,143,308,E
2023-04-16 20:45:00,184,319,E
2023-04-16 21:00:00,124,278,E
2023-04-16 21:15:00,169,313,E
2023-04-16 21:30:00,238,393,E
2023-04-16 21:45:00,161,342,E
2023-04-16 22:00:00,113,271,E
2023-04-16 22:15:00,97,282,E
2023-04-16 22:30:00,130,296,E
2023-04-16 22:45:00,34,195,E
2023-04-16 23:00:00,47,210,E
2023-04-16 23:15:00,0,120,E
2023-04-16 23:30:00,0,113,E
2023-04-16 23:45:00,0,128,E
