Time,InNum,OutNum,Station
2023-04-16 00:00:00,0,0,F
2023-04-16 00:15:00,0,0,F
2023-04-16 00:30:00,0,6,F
2023-04-16 00:45:00,0,8,F
2023-04-16 01:00:00,0,34,F
2023-04-16 01:15:00,0,0,F
2023-04-16 01:30:00,0,48,F
2023-04-16 01:45:00,0,0,F
2023-04-16 02:00:00,0,0,F
2023-04-16 02:15:00,0,20,F
2023-04-16 02:30:00,0,0,F
2023-04-16 02:45:00,0,0,F
2023-04-16 03:00:00,0,37,F
2023-04-16 03:15:00,0,31,F
2023-04-16 03:30:00,0,34,F
2023-04-16 03:45:00,0,102,F
2023-04-16 04:00:00,0,125,F
2023-04-16 04:15:00,0,116,F
2023-04-16 04:30:00,54,187,F
2023-04-16 04:45:00,58,193,F
2023-04-16 05:00:00,108,242,F
2023-04-16 05:15:00,255,386,F
2023-04-16 05:30:00,245,378,F
2023-04-16 05:45:00,315,447,F
2023-04-16 06:00:00,282,409,F
2023-04-16 06:15:00,326,458,F
2023-04-16 06:30:00,272,422,F
2023-04-16 06:45:00,190,356,F
2023-04-16 07:00:00,196,351,F
2023-04-16 07:15:00,141,330,F
2023-04-16 07:30:00,148,317,F
2023-04-16 07:45:00,40,279,F
2023-04-16 08:00:00,56,255,F
2023-04-16 08:15:00,180,403,F
2023-04-16 08:30:00,159,424,F
2023-04-16 08:45:00,124,416,F
2023-04-16 09:00:00,217,430,F
2023-04-16 09:15:00,232,450,F
2023-04-16 09:30:00,227,457,F
2023-04-16 09:45:00,201,381,F
2023-04-16 10:00:00,171,261,F
2023-04-16 10:15:00,167,288,F
2023-04-16 10:30:00,135,239,F
2023-04-16 10:45:00,53,204,F
2023-04-16 11:00:00,57,170,F
2023-04-16 11:15:00,79,205,F
2023-04-16 11:30:00,178,287,F
2023-04-16 11:45:00,130,249,F
2023-04-16 12:00:00,41,155,F
2023-04-16 12:15:00,58,166,F
2023-04-16 12:30:00,31,160,F
2023-04-16 12:45:00,102,230,F
2023-04-16 13:00:00,150,273,F
2023-04-16 13:15:00,128,261,F
2023-04-16 13:30:00,71,221,F
2023-04-16 13:45:00,95,258,F
2023-04-16 14:00:00,140,272,F
2023-04-16 14:15:00,172,282,F
2023-04-16 14:30:00,175,307,F
2023-04-16 14:45:00,202,316,F
2023-04-16 15:00:00,242,368,F
2023-04-16 15:15:00,247,360,F
2023-04-16 15:30:00,266,365,F
2023-04-16 15:45:00,253,376,F
2023-04-16 16:00:00,233,340,F
2023-04-16 16:15:00,204,327,F
2023-04-16 16:30:00,139,254,F
2023-04-16 16:45:00,189,298,F
2023-04-16 17:00:00,142,245,F
2023-04-16 17:15:00,170,239,F
2023-04-16 17:30:00,191,260,F
2023-04-16 17:45:00,187,225,F
2023-04-16 18:00:00,257,234,F
2023-04-16 18:15:00,243,213,F
2023-04-16 18:30:00,269,246,F
2023-04-16 18:45:00,238,206,F
2023-04-16 19:00:00,225,227,F
2023-04-16 19:15:00,150,141,F
2023-04-16 19:30:00,156,211,F
2023-04-16 19:45:00,37,146,F
2023-04-16 20:00:00,51,164,F
2023-04-16 20:15:00,140,245,F
2023-04-16 20:30:00,155,278,F
2023-04-16 20:45:00,171,307,F
2023-04-16 21:00:00,142,251,F
2023-04-16 21:15:00,146,277,F
2023-04-16 21:30:00,234,374,F
2023-04-16 21:45:00,171,303,F
2023-04-16 22:00:00,130,261,F
2023-04-16 22:15:00,101,227,F
2023-04-16 22:30:00,132,260,F
2023-04-16 22:45:00,39,176,F
2023-04-16 23:00:00,47,197,F
2023-04-16 23:15:00,0,124,F
2023-04-16 23:30:00,0,123,F
2023-04-16 23:45:00,0,137,F
