Time,InNum,OutNum,Station
2023-04-16 00:00:00,0,0,G
2023-04-16 00:15:00,0,0,G
2023-04-16 00:30:00,0,15,G
2023-04-16 00:45:00,0,18,G
2023-04-16 01:00:00,0,45,G
2023-04-16 01:15:00,0,0,G
2023-04-16 01:30:00,0,57,G
2023-04-16 01:45:00,0,2,G
2023-04-16 02:00:00,0,0,G
2023-04-16 02:15:00,0,33,G
2023-04-16 02:30:00,0,5,G
2023-04-16 02:45:00,0,0,G
2023-04-16 03:00:00,0,53,G
2023-04-16 03:15:00,0,45,G
2023-04-16 03:30:00,0,48,G
2023-04-16 03:45:00,0,115,G
2023-04-16 04:00:00,1,136,G
2023-04-16 04:15:00,0,130,G
2023-04-16 04:30:00,66,195,G
2023-04-16 04:45:00,70,201,G
2023-04-16 05:00:00,119,245,G
2023-04-16 05:15:00,259,380,G
2023-04-16 05:30:00,245,376,G
2023-04-16 05:45:00,317,438,G
2023-04-16 06:00:00,284,399,G
2023-04-16 06:15:00,335,450,G
2023-04-16 06:30:00,287,412,G
2023-04-16 06:45:00,211,349,G
2023-04-16 07:00:00,217,346,G
2023-04-16 07:15:00,165,311,G
2023-04-16 07:30:00,165,332,G
2023-04-16 07:45:00,81,246,G
2023-04-16 08:00:00,101,360,G
2023-04-16 08:15:00,226,471,G
2023-04-16 08:30:00,201,510,G
2023-04-16 08:45:00,148,524,G
2023-04-16 09:00:00,224,501,G
2023-04-16 09:15:00,259,506,G
2023-04-16 09:30:00,257,461,G
2023-04-16 09:45:00,194,511,G
2023-04-16 10:00:00,136,375,G
2023-04-16 10:15:00,151,336,G
2023-04-16 10:30:00,123,320,G
2023-04-16 10:45:00,81,259,G
2023-04-16 11:00:00,64,315,G
2023-04-16 11:15:00,98,319,G
2023-04-16 11:30:00,208,392,G
2023-04-16 11:45:00,161,378,G
2023-04-16 12:00:00,84,251,G
2023-04-16 12:15:00,117,309,G
2023-04-16 12:30:00,93,244,G
2023-04-16 12:45:00,154,304,G
2023-04-16 13:00:00,214,365,G
2023-04-16 13:15:00,194,316,G
2023-04-16 13:30:00,133,315,G
2023-04-16 13:45:00,169,312,G
2023-04-16 14:00:00,185,378,G
2023-04-16 14:15:00,219,389,G
2023-04-16 14:30:00,237,392,G
2023-04-16 14:45:00,263,409,G
2023-04-16 15:00:00,312,454,G
2023-04-16 15:15:00,314,494,G
2023-04-16 15:30:00,341,474,G
2023-04-16 15:45:00,342,473,G
2023-04-16 16:00:00,318,426,G
2023-04-16 16:15:00,294,379,G
2023-04-16 16:30:00,241,361,G
2023-04-16 16:45:00,271,370,G
2023-04-16 17:00:00,259,326,G
2023-04-16 17:15:00,264,377,G
2023-04-16 17:30:00,235,348,G
2023-04-16 17:45:00,262,300,G
2023-04-16 18:00:00,271,343,G
2023-04-16 18:15:00,292,390,G
2023-04-16 18:30:00,292,405,G
2023-04-16 18:45:00,229,334,G
2023-04-16 19:00:00,227,319,G
2023-04-16 19:15:00,137,240,G
2023-04-16 19:30:00,187,328,G
2023-04-16 19:45:00,129,206,G
2023-04-16 20:00:00,148,209,G
2023-04-16 20:15:00,246,302,G
2023-04-16 20:30:00,271,317,G
2023-04-16 20:45:00,295,349,G
2023-04-16 21:00:00,237,291,G
2023-04-16 21:15:00,308,317,G
2023-04-16 21:30:00,362,401,G
2023-04-16 21:45:00,305,338,G
2023-04-16 22:00:00,258,289,G
2023-04-16 22:15:00,238,243,G
2023-04-16 22:30:00,227,293,G
2023-04-16 22:45:00,137,203,G
2023-04-16 23:00:00,114,215,G
2023-04-16 23:15:00,0,130,G
2023-04-16 23:30:00,0,129,G
2023-04-16 23:45:00,10,147,G
