Time,InNum,OutNum,Station
2023/4/16 0:00,0,0,A
2023/4/16 0:15,0,0,A
2023/4/16 0:30,0,4,A
2023/4/16 0:45,0,9,A
2023/4/16 1:00,0,30,A
2023/4/16 1:15,0,0,A
2023/4/16 1:30,0,45,A
2023/4/16 1:45,0,0,A
2023/4/16 2:00,0,0,A
2023/4/16 2:15,0,19,A
2023/4/16 2:30,0,0,A
2023/4/16 2:45,0,0,A
2023/4/16 3:00,0,31,A
2023/4/16 3:15,0,25,A
2023/4/16 3:30,0,27,A
2023/4/16 3:45,0,95,A
2023/4/16 4:00,0,116,A
2023/4/16 4:15,0,107,A
2023/4/16 4:30,49,177,A
2023/4/16 4:45,55,183,A
2023/4/16 5:00,106,233,A
2023/4/16 5:15,254,376,A
2023/4/16 5:30,243,368,A
2023/4/16 5:45,331,436,A
2023/4/16 6:00,286,395,A
2023/4/16 6:15,341,447,A
2023/4/16 6:30,290,403,A
2023/4/16 6:45,231,336,A
2023/4/16 7:00,229,329,A
2023/4/16 7:15,161,292,A
2023/4/16 7:30,177,273,A
2023/4/16 7:45,76,198,A
2023/4/16 8:00,97,197,A
2023/4/16 8:15,213,309,A
2023/4/16 8:30,191,292,A
2023/4/16 8:45,146,245,A
2023/4/16 9:00,223,320,A
2023/4/16 9:15,257,340,A
2023/4/16 9:30,235,355,A
2023/4/16 9:45,203,306,A
2023/4/16 10:00,119,255,A
2023/4/16 10:15,167,251,A
2023/4/16 10:30,111,225,A
2023/4/16 10:45,59,217,A
2023/4/16 11:00,46,178,A
2023/4/16 11:15,70,217,A
2023/4/16 11:30,169,301,A
2023/4/16 11:45,125,269,A
2023/4/16 12:00,48,184,A
2023/4/16 12:15,64,177,A
2023/4/16 12:30,51,175,A
2023/4/16 12:45,119,243,A
2023/4/16 13:00,178,281,A
2023/4/16 13:15,130,255,A
2023/4/16 13:30,111,211,A
2023/4/16 13:45,134,256,A
2023/4/16 14:00,146,266,A
2023/4/16 14:15,167,290,A
2023/4/16 14:30,200,313,A
2023/4/16 14:45,219,328,A
2023/4/16 15:00,246,384,A
2023/4/16 15:15,284,384,A
2023/4/16 15:30,260,416,A
2023/4/16 15:45,273,406,A
2023/4/16 16:00,217,346,A
2023/4/16 16:15,193,348,A
2023/4/16 16:30,138,258,A
2023/4/16 16:45,197,321,A
2023/4/16 17:00,137,279,A
2023/4/16 17:15,116,254,A
2023/4/16 17:30,127,265,A
2023/4/16 17:45,167,247,A
2023/4/16 18:00,126,270,A
2023/4/16 18:15,79,213,A
2023/4/16 18:30,115,276,A
2023/4/16 18:45,65,228,A
2023/4/16 19:00,63,224,A
2023/4/16 19:15,11,172,A
2023/4/16 19:30,55,225,A
2023/4/16 19:45,11,148,A
2023/4/16 20:00,16,190,A
2023/4/16 20:15,97,271,A
2023/4/16 20:30,129,324,A
2023/4/16 20:45,155,327,A
2023/4/16 21:00,105,289,A
2023/4/16 21:15,137,308,A
2023/4/16 21:30,211,392,A
2023/4/16 21:45,150,313,A
2023/4/16 22:00,89,298,A
2023/4/16 22:15,67,230,A
2023/4/16 22:30,96,283,A
2023/4/16 22:45,4,189,A
2023/4/16 23:00,29,198,A
2023/4/16 23:15,0,123,A
2023/4/16 23:30,0,124,A
2023/4/16 23:45,0,138,A
